elapsed_seconds,nvidia_timestamp,gpu_uuid,sm_clock_mhz,memory_clock_mhz,temperature_c,power_draw_w,power_limit_w,gpu_utilization_percent,memory_used_mib,memory_total_mib
434.72918539999955,2026/09/10 17:20:17.728,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.73,450.00,100,1627,24564
439.77705159999823,2026/09/10 17:20:22.776,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.34,450.00,100,1627,24564
444.8191740999973,2026/09/10 17:20:27.818,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.70,450.00,100,1627,24564
449.8716862000001,2026/09/10 17:20:32.870,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.19,450.00,100,1627,24564
454.91140489999816,2026/09/10 17:20:37.910,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.53,450.00,100,1627,24564
459.96326879999833,2026/09/10 17:20:42.962,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.06,450.00,100,1627,24564
465.0032648999986,2026/09/10 17:20:48.002,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.51,450.00,100,1627,24564
470.04963879999923,2026/09/10 17:20:53.048,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,448.82,450.00,100,1627,24564
475.1139915999993,2026/09/10 17:20:58.112,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.74,450.00,100,1627,24564
480.16262279999864,2026/09/10 17:21:03.161,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,450.42,450.00,100,1627,24564
485.21077650000007,2026/09/10 17:21:08.209,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.97,450.00,100,1627,24564
490.25812609999775,2026/09/10 17:21:13.256,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.55,450.00,100,1627,24564
495.3065905000003,2026/09/10 17:21:18.304,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,448.48,450.00,100,1627,24564
500.37073959999907,2026/09/10 17:21:23.369,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.45,450.00,100,1627,24564
505.4189342999998,2026/09/10 17:21:28.416,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.95,450.00,100,1627,24564
510.4664499999999,2026/09/10 17:21:33.464,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.93,450.00,100,1627,24564
515.5209045999982,2026/09/10 17:21:38.518,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.67,450.00,100,1627,24564
520.5699280999979,2026/09/10 17:21:43.568,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.64,450.00,100,1627,24564
525.6328797999995,2026/09/10 17:21:48.630,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.16,450.00,100,1627,24564
530.6797493999984,2026/09/10 17:21:53.678,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2505,10251,76,449.61,450.00,100,1627,24564
535.7277864999996,2026/09/10 17:21:58.725,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.07,450.00,100,1627,24564
540.7760406999987,2026/09/10 17:22:03.774,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.85,450.00,100,1627,24564
545.8392816999985,2026/09/10 17:22:08.837,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.67,450.00,100,1627,24564
550.886889999998,2026/09/10 17:22:13.884,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.36,450.00,100,1627,24564
555.9304191999981,2026/09/10 17:22:18.928,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.33,450.00,100,1627,24564
560.9790742000005,2026/09/10 17:22:23.976,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.51,450.00,100,1627,24564
566.0230969000004,2026/09/10 17:22:29.020,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,448.28,450.00,100,1627,24564
571.0659001999993,2026/09/10 17:22:34.063,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,448.66,450.00,100,1627,24564
576.1144576000006,2026/09/10 17:22:39.111,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,450.23,450.00,100,1627,24564
581.1773945999994,2026/09/10 17:22:44.174,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.11,450.00,100,1627,24564
586.2405283999979,2026/09/10 17:22:49.238,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,449.55,450.00,100,1627,24564
591.321521599999,2026/09/10 17:22:54.318,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,75,449.11,450.00,100,1627,24564
596.3879338000006,2026/09/10 17:22:59.383,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2475,10251,76,448.81,450.00,100,1627,24564
601.4486421999973,2026/09/10 17:23:04.445,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,449.44,450.00,100,1627,24564
606.5127876999977,2026/09/10 17:23:09.509,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.68,450.00,100,1627,24564
611.5610558999979,2026/09/10 17:23:14.558,GPU-b60240a9-31a3-126f-751f-afc1dcc1d73f,2490,10251,76,450.27,450.00,100,1627,24564
